urlid,label
5865,0
782,0
6962,0
7640,0
3589,0
6719,0
3905,0
9841,0
7447,0
4776,0
2879,0
2620,0
10479,0
1105,0
1849,0
8286,0
8344,0
10486,0
8661,0
7188,0
1433,0
677,0
469,0
6988,0
8024,0
6896,0
9154,0
342,0
50,0
983,0
6933,0
8271,0
5602,0
4505,0
4966,0
2390,0
6736,0
4660,0
7560,0
3840,0
5823,0
5789,0
1595,0
6770,0
3522,0
5584,0
8323,0
3862,0
373,0
7345,0
7708,0
1398,0
4298,0
7467,0
1878,0
1832,0
625,0
7438,0
9961,0
7117,0
8190,0
1713,0
949,0
9246,0
2326,0
8942,0
4458,0
4659,0
9522,0
2497,0
9836,0
3808,0
5575,0
5714,0
2490,0
6812,0
4335,0
10014,0
5889,0
482,0
8082,0
5856,0
8866,0
2624,0
1371,0
4436,0
2972,0
3638,0
6249,0
7602,0
9624,0
7567,0
6578,0
7590,0
8590,0
10520,0
1906,0
1373,0
1601,0
4754,0
8208,0
1658,0
1352,0
8143,0
7760,0
7836,0
9769,0
503,0
4909,0
7162,0
10035,0
1992,0
6133,0
8519,0
1879,0
7107,0
1225,0
2451,0
8252,0
9214,0
4850,0
5891,0
5274,0
8623,0
562,0
860,0
4199,0
7616,0
10544,0
1567,0
6552,0
954,0
111,0
7036,0
1995,0
7095,0
10180,0
6872,0
4805,0
355,0
8097,0
9271,0
431,0
1646,0
143,0
3436,0
150,0
9745,0
715,0
578,0
8684,0
1186,0
9115,0
9239,0
5461,0
5424,0
1349,0
609,0
7569,0
1622,0
6541,0
9873,0
305,0
6041,0
5360,0
8445,0
7260,0
4526,0
138,0
168,0
7888,0
4639,0
867,0
9673,0
710,0
4749,0
4716,0
410,0
2155,0
3289,0
7774,0
1200,0
9057,0
2261,0
9612,0
4987,0
3605,0
5068,0
4474,0
5831,0
4729,0
10060,0
6895,0
3791,0
7910,0
4209,0
4984,0
1773,0
2101,0
7251,0
2887,0
875,0
8185,0
9688,0
5342,0
6802,0
3077,0
712,0
3026,0
2640,0
4872,0
3334,0
2431,0
9218,0
7417,0
3563,0
1006,0
8940,0
7703,0
2686,0
8159,0
37,0
65,0
1910,0
2202,0
9717,0
2388,0
2365,0
5072,0
4614,0
6955,0
4094,0
3319,0
1456,0
5381,0
4479,0
4766,0
6076,0
8064,0
3416,0
4892,0
9942,0
9215,0
4506,0
9275,0
1306,0
6828,0
8368,0
7205,0
360,0
3386,0
3835,0
1305,0
7963,0
2073,0
4230,0
9012,0
2723,0
6788,0
7945,0
4868,0
6597,0
7323,0
6229,0
3427,0
7727,0
4707,0
2547,0
4523,0
9648,0
1084,0
3327,0
5591,0
186,0
2938,0
9912,0
6047,0
2417,0
10533,0
1137,0
1533,0
9233,0
43,0
8986,0
6000,0
480,0
2457,0
5362,0
7722,0
7940,0
6104,0
8853,0
5813,0
4769,0
2544,0
6379,0
5262,0
9885,0
10081,0
1315,0
3388,0
3473,0
2117,0
9411,0
9379,0
4236,0
2049,0
4786,0
1604,0
7659,0
8152,0
5417,0
160,0
6826,0
1815,0
3647,0
5605,0
3526,0
3854,0
1053,0
2411,0
6015,0
2089,0
7745,0
6816,0
3934,0
6547,0
3758,0
7158,0
1584,0
2982,0
7679,0
5286,0
3776,0
1235,0
6294,0
1012,0
10318,0
7134,0
5180,0
2108,0
3639,0
6729,0
2472,0
10235,0
190,0
4713,0
6827,0
6108,0
1114,0
4848,0
606,0
1573,0
8546,0
5193,0
2936,0
5104,0
6712,0
3055,0
74,0
7726,0
9183,0
162,0
7288,0
8657,0
1295,0
8207,0
4433,0
590,0
10549,0
7749,0
405,0
10267,0
7133,0
7584,0
6616,0
1719,0
9761,0
5859,0
5662,0
1736,0
9333,0
1102,0
2790,0
6598,0
7995,0
4452,0
159,0
511,0
7006,0
1123,0
6073,0
7094,0
10008,0
7573,0
679,0
6809,0
1108,0
380,0
204,0
7075,0
2550,0
9785,0
5036,0
3129,0
6495,0
880,0
2360,0
7839,0
350,0
9151,0
6650,0
7208,0
5840,0
5997,0
2103,0
713,0
7771,0
10255,0
3944,0
4250,0
2833,0
3052,0
7855,0
4152,0
4445,0
10036,0
9727,0
2234,0
9632,0
626,0
1644,0
4859,0
3987,0
5884,0
4112,0
10392,0
2962,0
21,0
8524,0
2543,0
663,0
2748,0
3451,0
964,0
10560,0
2428,0
4520,0
7660,0
6583,0
10390,0
688,0
7957,0
3356,0
1766,0
9128,0
2340,0
9421,0
7712,0
8200,0
8762,0
6446,0
5194,0
960,0
779,0
3584,0
3011,0
2769,0
1392,0
7254,0
9084,0
9622,0
3665,0
1609,0
6130,0
10155,0
7826,0
8300,0
5038,0
7582,0
9561,0
7430,0
5045,0
10421,0
5675,0
4687,0
4944,0
5105,0
148,0
6371,0
8108,0
4354,0
6077,0
4292,0
10068,0
5821,0
1042,0
7715,0
9703,0
2761,0
